,Accuracy,Precision,Recall,F1-score
Random Forest,0.9954545454545455,0.9956709956709956,0.9954545454545455,0.9954517027687759
Decision Tree,0.9795454545454545,0.9805981896890988,0.9795454545454545,0.979423151374371
XGBoost,0.9931818181818182,0.9935064935064934,0.9931818181818182,0.9931162119865588
Ensemble (RF+DT+XGB),0.990909090909091,0.991538764266037,0.990909090909091,0.9908948561066662
